"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"23","Croatian","produces","bicycle",24,22,8,0.733333333333333,"nouns","vehicles","bicikl","bicikl",6,6.54347826086957,-6.69490800101826,6.71,3.95,NA,NA,4.89
"24","Croatian","produces","big",24,16,14,0.533333333333333,"adjectives","descriptive_words","velik(o)","velik(o)",5.5,NA,NA,5.64,4.33,17.9,2.727272727,3.66
"25","Croatian","produces","bird",24,28,2,0.933333333333333,"nouns","animals","ptica","ptica",5,3.60465116278814,-7.44331786025325,6.75,3.83,14.0540540540541,2.375,5
"26","Croatian","produces","bite",24,19,11,0.633333333333333,"verbs","action_words","gristi","gristi",6,NA,-9.61806958173741,3.52,5.1,8.86842105263158,3.615384615,4.44
"27","Croatian","produces","blanket",24,7,23,0.233333333333333,"nouns","household","deka","deka",4,NA,-9.43574802494346,7.05,2.23,7.73684210526316,8.916666667,5
"28","Croatian","produces","block",24,25,5,0.833333333333333,"nouns","toys","kocka","kocka",5,5.39473684210474,-7.56394584804187,4.48,4.25,10.9117647058824,4.473684211,4.48
"29","Croatian","produces","blow",24,14,16,0.466666666666667,"verbs","action_words","puhati","puhati",6,5.47058823529471,-8.33713573627535,6.1,4.48,18,2.5,3.74
"30","Croatian","produces","blue",24,7,23,0.233333333333333,"adjectives","descriptive_words","plava","plava",5,5.56034482758733,-6.46533355937376,6.53,3.69,14.5945945945946,7.333333333,3.76
"31","Croatian","produces","boat",24,21,9,0.7,"nouns","vehicles","brod","brod",4,5.275,-7.51393542746721,6.36,4.05,22.4186046511628,1.363636364,4.93
"32","Croatian","produces","book",24,23,7,0.766666666666667,"nouns","toys","knjiga","knjiga",5,7.25806451612903,-7.08437276777998,7.05,3.13,19.9189189189189,4.7,4.9
"33","Croatian","produces","boots",24,15,15,0.5,"nouns","clothing","čizme","čizme",5,6.1249999999975,-8.00863166930331,5.89,3.52,14.0571428571429,3,5
"34","Croatian","produces","bottle",24,17,13,0.566666666666667,"nouns","household","boca","boca",4,3.78260869565087,-8.04945366382357,5.47,3.32,14.4545454545455,9.6,4.91
"35","Croatian","produces","bowl",24,5,25,0.166666666666667,"nouns","household","zdjelica","zdjelica",8,7.71428571428643,-8.5194572930693,5.67,3.21,19.2857142857143,4.4,4.87
"36","Croatian","produces","box",24,14,16,0.466666666666667,"nouns","household","kutija","kutija",6,6.85454545454782,-7.20215580343637,5.33,2.67,9.91891891891892,1.941176471,4.9
"37","Croatian","produces","boy",24,15,15,0.5,"other","people","dječak","dječak",6,6.61111111110833,-8.28306851500507,5.84,4.11,19.8888888888889,7.923076923,4.76
"38","Croatian","produces","bread",24,27,3,0.9,"nouns","food_drink","kruh","kruh",4,4.82352941176529,-7.6721594326821,6.52,3.85,16.8666666666667,2.1,4.92
"39","Croatian","produces","break",24,7,23,0.233333333333333,"verbs","action_words","razbiti","razbiti",7,7.0500000000015,-7.51393542746721,5.1,4.71,13.1081081081081,4.7,3.71
"40","Croatian","produces","breakfast",24,8,22,0.266666666666667,"other","games_routines","doručak","doručak",7,NA,NA,7.39,5,4.89189189189189,4.7,4.43
"41","Croatian","produces","bring",24,14,16,0.466666666666667,"verbs","action_words","donijeti","donijeti",8,7.92452830188453,-7.23852344760724,5.68,4.29,13.5098039215686,3.1,2.55
"42","Croatian","produces","broom",24,19,11,0.633333333333333,"nouns","household","metla","metla",5,NA,-10.5343603136116,5.5,3.33,14.2820512820513,1.214285714,4.89
"43","Croatian","produces","brother",24,15,15,0.5,"other","people","brat","brat",4,6.69999999999333,-7.79352028968637,6.18,4.48,11.8611111111111,5.3,4.43
"44","Croatian","produces","brush (object)",24,13,17,0.433333333333333,"nouns","household","četka","četka",5,NA,-10.1288952055034,5.47,3.18,15.2105263157895,2.3,4.54
"45","Croatian","produces","bug",24,21,9,0.7,"nouns","animals","buba","buba",4,6.30864197531111,-6.82078824690726,3.45,6.06,19.5897435897436,3.076923077,5
