year,sense,count_total,n_total
1961,ship,40,625
1962,newspaper,512,718
1962,observe,131,718
1962,ship,66,718
1963,newspaper,589,1100
1963,observe,451,1100
1963,ship,52,1100
1964,newspaper,512,763
1964,observe,178,763
1964,ship,50,763
1965,newspaper,851,1174
1965,observe,220,1174
1965,ship,97,1174
1966,newspaper,892,1140
1966,observe,177,1140
1966,ship,60,1140
1967,newspaper,1443,1930
1967,observe,349,1930
1967,ship,121,1930
1968,newspaper,573,966
1968,observe,321,966
1968,ship,56,966
1969,newspaper,815,1496
1969,observe,555,1496
1969,ship,95,1496
1970,newspaper,984,1874
1970,observe,751,1874
1970,ship,98,1874
1971,newspaper,1129,2280
1971,observe,1006,2280
1971,ship,91,2280
1972,newspaper,966,2425
1972,observe,1302,2425
1972,ship,125,2425
1973,newspaper,1163,2962
1973,observe,1670,2962
1973,ship,99,2962
1974,newspaper,1115,4643
1974,observe,3295,4643
1974,ship,130,4643
1975,newspaper,775,3574
1975,observe,2612,3574
1975,ship,103,3574
1976,newspaper,677,3367
1976,observe,2528,3367
1976,ship,103,3367
1977,newspaper,735,3790
1977,observe,2859,3790
1977,ship,128,3790
1978,newspaper,1184,4475
1978,observe,3040,4475
1978,ship,144,4475
1979,newspaper,822,4971
1979,observe,3850,4971
1979,ship,192,4971
1980,newspaper,808,4366
1980,observe,3299,4366
1980,ship,148,4366
1981,newspaper,729,3544
1981,observe,2604,3544
1981,ship,132,3544
1982,newspaper,691,3258
1982,observe,2408,3258
1982,ship,113,3258
1983,newspaper,696,3394
1983,observe,2516,3394
1983,ship,103,3394
1984,newspaper,491,2891
1984,observe,2264,2891
1984,ship,84,2891
1985,newspaper,669,4058
1985,observe,3133,4058
1985,ship,153,4058
1986,newspaper,565,3933
1986,observe,3117,3933
1986,ship,148,3933
1987,newspaper,514,3935
1987,observe,3206,3935
1987,ship,127,3935
1988,newspaper,537,4242
1988,observe,3405,4242
1988,ship,207,4242
1989,newspaper,488,3537
1989,observe,2868,3537
1989,ship,104,3537
1990,newspaper,429,4063
1990,observe,3337,4063
1990,ship,161,4063
1991,newspaper,409,3099
1991,observe,2550,3099
1991,ship,73,3099
1992,newspaper,410,3746
1992,observe,3104,3746
1992,ship,147,3746
1993,newspaper,372,2537
1993,observe,2022,2537
1993,ship,83,2537
1994,newspaper,374,3234
1994,observe,2632,3234
1994,ship,134,3234
1995,newspaper,400,3393
1995,observe,2732,3393
1995,ship,158,3393
1996,newspaper,205,2326
1996,observe,1976,2326
1996,ship,99,2326
1997,newspaper,297,3018
1997,observe,2500,3018
1997,ship,115,3018
1998,newspaper,358,3043
1998,observe,2493,3043
1998,ship,104,3043
1999,newspaper,319,3569
1999,observe,3055,3569
1999,ship,118,3569
2000,newspaper,360,3892
2000,observe,3238,3892
2000,ship,169,3892
2001,newspaper,304,2925
2001,observe,2424,2925
2001,ship,132,2925
2002,newspaper,359,2340
2002,observe,1815,2340
2002,ship,78,2340
2003,newspaper,439,3428
2003,observe,2744,3428
2003,ship,169,3428
2004,newspaper,299,1946
2004,observe,1486,1946
2004,ship,96,1946
2005,newspaper,310,3033
2005,observe,2547,3033
2005,ship,128,3033
2006,newspaper,385,2838
2006,observe,2234,2838
2006,ship,143,2838
2007,newspaper,311,3029
2007,observe,2551,3029
2007,ship,80,3029
2008,newspaper,388,2984
2008,observe,2412,2984
2008,ship,85,2984
2009,newspaper,188,2371
2009,observe,2031,2371
2009,ship,89,2371
2010,newspaper,137,1669
2010,observe,1449,1669
2010,ship,43,1669
